,open_time,open,high,low,close,volume,close_time,quote_asset_volume,no_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
435,1629883800000,3102.73,3113.91,3093.00,3097.83,42761.602,1629884699999,132616760.70459,48287,21671.248,67225214.94442
436,1629884700000,3097.82,3106.25,3094.41,3098.33,27089.791,1629885599999,83976931.30688,29089,13681.980,42416669.69504
437,1629885600000,3098.35,3109.56,3094.56,3108.01,20489.369,1629886499999,63584238.24866,29398,10289.995,31938476.79986
438,1629886500000,3108.01,3126.87,3107.84,3124.05,28158.050,1629887399999,87776742.83330,35375,15595.251,48618553.12088
439,1629887400000,3124.04,3129.96,3116.14,3128.47,15599.644,1629888299999,48709803.93957,22528,8054.032,25154570.71005
440,1629888300000,3128.61,3132.00,3122.77,3124.95,17050.691,1629889199999,53336002.81327,23027,8418.857,26338321.45516
441,1629889200000,3124.94,3132.53,3114.41,3115.84,19925.501,1629890099999,62248149.03371,27775,8325.623,26018235.62715
442,1629890100000,3115.84,3128.68,3115.83,3122.27,10743.502,1629890999999,33553776.61382,19090,5335.322,16662951.75208
443,1629891000000,3122.28,3135.00,3122.28,3134.99,14125.428,1629891899999,44232422.04777,20228,7070.453,22141825.34539
444,1629891900000,3134.99,3145.00,3131.00,3140.69,21314.846,1629892799999,66918793.96894,25685,11517.291,36164631.02374
445,1629892800000,3140.70,3142.65,3110.00,3136.31,52235.767,1629893699999,163383144.95159,45725,24409.043,76354996.96954
446,1629893700000,3136.48,3149.29,3136.17,3143.52,20402.306,1629894599999,64154764.71373,26320,10924.153,34348933.89823
447,1629894600000,3143.51,3153.74,3134.66,3140.59,19902.677,1629895499999,62560026.66190,25405,9653.315,30352371.77470
448,1629895500000,3140.59,3156.82,3140.59,3149.67,23102.389,1629896399999,72805707.36374,26211,11372.306,35840311.32188
449,1629896400000,3149.68,3160.91,3149.40,3152.49,25439.140,1629897299999,80296298.31631,31442,13211.551,41703903.11928
450,1629897300000,3152.49,3158.00,3142.89,3156.63,21363.326,1629898199999,67286476.34718,26452,9991.094,31475439.54018
451,1629898200000,3156.62,3157.16,3143.71,3145.29,12947.823,1629899099999,40804969.11375,19974,6087.624,19185311.68084
452,1629899100000,3145.30,3153.42,3121.55,3133.36,36230.655,1629899999999,113577264.35240,39698,13966.674,43791048.10309
453,1629900000000,3133.37,3133.62,3101.77,3113.47,53123.805,1629900899999,165446459.88298,56874,26297.424,81897013.57533
454,1629900900000,3113.47,3162.99,3112.32,3148.79,70539.689,1629901799999,221816238.30591,69995,40512.675,127386149.96316
455,1629901800000,3148.80,3185.18,3143.78,3174.08,69127.924,1629902699999,219131672.61399,72885,38037.129,120566858.77133
456,1629902700000,3174.07,3192.33,3165.00,3187.22,46124.097,1629903599999,146750898.96038,53319,24015.476,76419133.28048
457,1629903600000,3187.23,3198.21,3180.55,3195.47,32743.798,1629904499999,104430532.44553,42686,16767.657,53487981.68334
458,1629904500000,3195.46,3197.15,3174.07,3186.84,30611.786,1629905399999,97479438.42884,34417,13958.616,44451583.72308
459,1629905400000,3186.85,3191.55,3175.01,3186.13,19294.889,1629906299999,61416205.28274,26060,9568.320,30462180.42869
460,1629906300000,3186.12,3227.08,3185.53,3217.47,69946.660,1629907199999,224576506.69441,72503,38846.016,124711652.31378
461,1629907200000,3217.48,3231.70,3205.00,3211.67,49358.041,1629908099999,158795326.56461,49122,23314.155,75023474.03293
462,1629908100000,3211.66,3219.65,3206.00,3210.87,19059.757,1629908999999,61239176.09210,26124,9860.111,31680856.25161
463,1629909000000,3210.87,3217.93,3207.71,3208.50,12556.168,1629909899999,40335649.91193,19412,5522.764,17745165.01586
464,1629909900000,3208.51,3220.00,3202.00,3215.24,15036.822,1629910799999,48304900.12229,21852,7039.438,22619897.98740
465,1629910800000,3215.25,3217.50,3206.59,3209.91,11783.319,1629911699999,37849195.57313,17588,5454.102,17521490.56978
466,1629911700000,3209.90,3216.00,3201.51,3212.00,17393.639,1629912599999,55813786.35773,20262,7840.482,25164608.55218
467,1629912600000,3212.00,3241.00,3211.81,3238.52,44866.610,1629913499999,144944413.30716,46131,24920.013,80501999.73760
468,1629913500000,3238.52,3239.21,3220.12,3225.52,17710.546,1629914399999,57183145.42502,23818,7322.894,23644888.13480
469,1629914400000,3225.49,3238.00,3220.05,3232.87,15686.929,1629915299999,50675246.03221,21514,8296.683,26802769.41916
470,1629915300000,3232.86,3238.00,3226.00,3230.57,11391.874,1629916199999,36816444.03072,16193,5836.808,18865344.75211
471,1629916200000,3230.57,3238.73,3230.57,3238.12,8912.345,1629917099999,28836668.73882,15459,4949.170,16013476.78724
472,1629917100000,3238.12,3239.50,3228.29,3232.05,12138.780,1629917999999,39251003.29708,17142,5233.535,16926165.27571
473,1629918000000,3232.13,3249.00,3231.33,3238.02,24707.385,1629918899999,80119920.45894,31231,13129.505,42577237.45299
474,1629918900000,3238.02,3241.86,3220.02,3230.98,22640.508,1629919799999,73118873.04284,27848,10542.665,34061248.40091
475,1629919800000,3230.76,3236.24,3222.25,3234.37,11192.199,1629920699999,36154099.35256,16270,6235.459,20143402.16731
476,1629920700000,3234.37,3235.58,3203.60,3214.65,26239.752,1629921599999,84416285.17360,31434,9813.002,31571094.76721
477,1629921600000,3214.65,3235.97,3214.65,3232.19,21279.581,1629922499999,68663638.95304,23719,11683.726,37707119.24867
478,1629922500000,3232.19,3240.86,3222.61,3226.42,16168.456,1629923399999,52285438.81550,21071,7492.548,24240921.38526
479,1629923400000,3226.42,3228.56,3210.37,3212.25,13127.296,1629924299999,42252136.26137,22435,5522.363,17775388.70887
480,1629924300000,3212.25,3215.65,3200.00,3209.41,20876.095,1629925199999,66973258.95192,25503,9368.257,30061902.95486
481,1629925200000,3209.41,3226.04,3209.00,3220.50,10296.457,1629926099999,33160769.55856,19075,5022.904,16174797.36754
482,1629926100000,3220.50,3220.51,3208.59,3213.04,8158.542,1629926999999,26211485.99812,15027,3408.409,10950251.31819
483,1629927000000,3213.04,3222.65,3208.67,3212.06,8992.947,1629927899999,28928517.19450,15156,3815.200,12274301.26405
484,1629927900000,3212.07,3225.62,3205.85,3223.29,15093.816,1629928799999,48538831.35842,18952,7294.600,23460851.61754
485,1629928800000,3223.08,3240.00,3216.91,3231.28,25399.450,1629929699999,82016932.03911,30343,14930.604,48218950.89531
486,1629929700000,3231.28,3233.18,3211.00,3211.45,11159.902,1629930599999,35915127.15224,18774,4588.871,14768266.83045
487,1629930600000,3211.58,3225.00,3211.45,3212.01,9882.801,1629931499999,31806347.61790,15734,4766.836,15342467.32483
488,1629931500000,3212.01,3219.50,3211.25,3219.25,6092.001,1629932399999,19586077.01716,12577,3203.587,10299550.34703
489,1629932400000,3219.24,3226.70,3208.00,3226.69,11798.775,1629933299999,37963345.90133,16554,5422.707,17453890.60185
490,1629933300000,3226.69,3237.69,3220.77,3234.23,17089.036,1629934199999,55211019.95004,19109,8018.016,25900109.14421
491,1629934200000,3234.23,3234.50,3226.45,3232.39,10183.032,1629935099999,32899167.35104,15480,5609.353,18123301.24298
492,1629935100000,3232.49,3233.28,3221.86,3227.90,8491.721,1629935999999,27395569.64764,13435,3758.486,12128241.57582
493,1629936000000,3227.90,3236.04,3209.76,3224.49,23960.449,1629936899999,77184818.86990,27842,12294.190,39615028.57319
494,1629936900000,3224.49,3232.99,3211.19,3229.58,17181.490,1629937799999,55365888.59842,23959,8639.213,27843148.20706
495,1629937800000,3229.58,3237.15,3223.94,3234.67,14446.451,1629938699999,46698034.11548,21221,7471.916,24154989.42773
496,1629938700000,3234.52,3254.00,3234.31,3247.68,26820.831,1629939599999,87044149.29055,34103,15401.940,49990110.81156
497,1629939600000,3247.79,3250.86,3228.00,3231.88,19606.047,1629940499999,63491462.56396,26113,8025.115,25992088.24475
498,1629940500000,3231.84,3235.57,3225.26,3234.01,10838.730,1629941399999,35003749.50537,17301,5512.377,17802198.68382
499,1629941400000,3234.02,3234.56,3213.42,3213.94,14863.334,1629942299999,47877121.01260,20882,5229.895,16851426.76679
500,1629942300000,3213.94,3223.18,3212.00,3212.08,11868.633,1629943199999,38176305.89027,18221,5577.708,17943272.15866
501,1629943200000,3212.09,3224.16,3211.42,3219.08,10267.371,1629944099999,33047117.21552,15731,5296.961,17048096.54569
502,1629944100000,3219.09,3220.01,3211.00,3214.53,9378.216,1629944999999,30146425.53663,15125,3731.191,11994803.80670
503,1629945000000,3214.54,3219.76,3207.22,3213.52,16381.713,1629945899999,52645870.42041,19929,6374.727,20485916.73389
