,lastUpdateId,E,T,bids,asks
202,722823590005,1630855043709,1630855043699,"['3918.38', '2.570']","['3927.16', '0.840']"
203,722823590005,1630855043709,1630855043699,"['3918.28', '0.032']","['3927.17', '39.586']"
204,722823590005,1630855043709,1630855043699,"['3918.24', '2.192']","['3927.18', '0.451']"
205,722823590005,1630855043709,1630855043699,"['3918.22', '0.100']","['3927.19', '0.280']"
206,722823590005,1630855043709,1630855043699,"['3918.21', '1.893']","['3927.20', '0.560']"
207,722823590005,1630855043709,1630855043699,"['3918.20', '0.650']","['3927.21', '0.560']"
208,722823590005,1630855043709,1630855043699,"['3918.19', '0.425']","['3927.22', '0.280']"
209,722823590005,1630855043709,1630855043699,"['3918.18', '3.850']","['3927.24', '10.000']"
210,722823590005,1630855043709,1630855043699,"['3918.17', '1.276']","['3927.25', '0.057']"
211,722823590005,1630855043709,1630855043699,"['3918.16', '10.426']","['3927.26', '0.204']"
212,722823590005,1630855043709,1630855043699,"['3918.15', '0.726']","['3927.27', '0.099']"
213,722823590005,1630855043709,1630855043699,"['3918.14', '5.470']","['3927.28', '5.889']"
214,722823590005,1630855043709,1630855043699,"['3918.13', '10.000']","['3927.29', '0.586']"
215,722823590005,1630855043709,1630855043699,"['3918.08', '0.010']","['3927.30', '0.002']"
216,722823590005,1630855043709,1630855043699,"['3918.07', '3.191']","['3927.34', '2.800']"
217,722823590005,1630855043709,1630855043699,"['3918.05', '3.850']","['3927.37', '1.282']"
218,722823590005,1630855043709,1630855043699,"['3918.04', '0.598']","['3927.38', '0.051']"
219,722823590005,1630855043709,1630855043699,"['3918.02', '0.083']","['3927.39', '0.032']"
220,722823590005,1630855043709,1630855043699,"['3918.01', '15.329']","['3927.40', '5.098']"
221,722823590005,1630855043709,1630855043699,"['3918.00', '3.153']","['3927.41', '8.000']"
222,722823590005,1630855043709,1630855043699,"['3917.98', '0.013']","['3927.43', '7.934']"
223,722823590005,1630855043709,1630855043699,"['3917.97', '23.666']","['3927.44', '7.552']"
224,722823590005,1630855043709,1630855043699,"['3917.96', '0.244']","['3927.46', '2.604']"
225,722823590005,1630855043709,1630855043699,"['3917.95', '133.348']","['3927.48', '2.516']"
226,722823590005,1630855043709,1630855043699,"['3917.93', '0.125']","['3927.50', '0.169']"
227,722823590005,1630855043709,1630855043699,"['3917.90', '14.583']","['3927.51', '2.554']"
228,722823590005,1630855043709,1630855043699,"['3917.89', '1.465']","['3927.52', '0.224']"
229,722823590005,1630855043709,1630855043699,"['3917.88', '0.032']","['3927.53', '0.372']"
230,722823590005,1630855043709,1630855043699,"['3917.87', '1.934']","['3927.54', '1.249']"
231,722823590005,1630855043709,1630855043699,"['3917.84', '0.002']","['3927.56', '4.000']"
232,722823590005,1630855043709,1630855043699,"['3917.81', '0.400']","['3927.57', '0.170']"
233,722823590005,1630855043709,1630855043699,"['3917.80', '0.013']","['3927.58', '9.990']"
234,722823590005,1630855043709,1630855043699,"['3917.79', '3.568']","['3927.59', '0.100']"
235,722823590005,1630855043709,1630855043699,"['3917.78', '0.740']","['3927.64', '0.556']"
236,722823590005,1630855043709,1630855043699,"['3917.75', '0.589']","['3927.68', '0.015']"
237,722823590005,1630855043709,1630855043699,"['3917.73', '0.400']","['3927.69', '0.031']"
238,722823590005,1630855043709,1630855043699,"['3917.70', '4.357']","['3927.71', '0.029']"
239,722823590005,1630855043709,1630855043699,"['3917.68', '0.100']","['3927.72', '9.453']"
240,722823590005,1630855043709,1630855043699,"['3917.67', '0.174']","['3927.73', '0.306']"
241,722823590005,1630855043709,1630855043699,"['3917.61', '0.400']","['3927.80', '1.022']"
242,722823590005,1630855043709,1630855043699,"['3917.60', '0.043']","['3927.81', '0.452']"
243,722823590005,1630855043709,1630855043699,"['3917.59', '0.231']","['3927.82', '5.547']"
244,722823590005,1630855043709,1630855043699,"['3917.58', '0.009']","['3927.84', '4.144']"
245,722823590005,1630855043709,1630855043699,"['3917.55', '1.037']","['3927.85', '0.031']"
246,722823590005,1630855043709,1630855043699,"['3917.52', '1.280']","['3927.87', '4.231']"
247,722823590005,1630855043709,1630855043699,"['3917.51', '48.948']","['3927.88', '12.877']"
248,722823590005,1630855043709,1630855043699,"['3917.50', '0.060']","['3927.89', '0.096']"
